Label,Cell IdX,Cell IdY,Cell IdZ,X [mm],Y [mm],Z [mm],Dose [Gy],FieldScalingFactor,AngleScalingFactor
D3DDetector_Cell_ON273,0,0,29,11.4,12.65,3.1,4.83849e-08,0.210175,0.101965
D3DDetector_Cell_ON186,0,0,10,-27.1,-16.75,-22.25,5.58049e-08,0.751524,0.198943
D3DDetector_Cell_ON256,0,0,26,-19.4,-2.05,-22.25,5.42199e-08,0.769934,0.118177
D3DDetector_Cell_ON136,0,0,0,-4,-2.05,-5.35,5.22214e-08,0.397169,0.02
D3DDetector_Cell_ON253,0,0,25,-19.4,-2.05,-5.35,5.00667e-08,0.387545,0.118177
D3DDetector_Cell_ON153,0,0,3,-27.1,-16.75,11.55,4.68465e-08,0.02,0.198943
D3DDetector_Cell_ON282,0,0,30,-19.4,-2.05,11.55,4.53713e-08,0.0348505,0.118177
D3DDetector_Cell_ON214,0,0,15,-4,12.65,3.1,5.16494e-08,0.213059,0.0773674
D3DDetector_Cell_ON213,0,0,14,-11.7,-16.75,-5.35,5.7334e-08,0.386937,0.124217
D3DDetector_Cell_ON142,0,0,1,-19.4,12.65,-30.7,5.71484e-08,0.968667,0.142059
D3DDetector_Cell_ON168,0,0,8,11.4,12.65,-30.7,5.90114e-08,0.976413,0.101965
D3DDetector_Cell_ON177,0,0,9,-88.6,-87.35,-30.55,4.40468e-10,0.53174,0.804226
D3DDetector_Cell_ON163,0,0,6,-4,12.65,-13.8,5.36194e-08,0.580812,0.0773674
D3DDetector_Cell_ON150,0,0,2,-4,-2.05,-22.25,5.55429e-08,0.780667,0.02
D3DDetector_Cell_ON245,0,0,21,-96.3,-102.05,-30.55,2.07571e-10,0.418773,0.908169
D3DDetector_Cell_ON226,0,0,17,-4,-2.05,11.55,4.3873e-08,0.0435059,0.02
D3DDetector_Cell_ON232,0,0,18,-19.4,12.65,-13.8,5.53754e-08,0.570663,0.142059
D3DDetector_Cell_ON271,0,0,28,-11.7,-16.75,-22.25,6.2677e-08,0.769255,0.124217
D3DDetector_Cell_ON242,0,0,20,11.4,12.65,-13.8,5.36961e-08,0.577599,0.101965
D3DDetector_Cell_ON251,0,0,23,11.4,-2.05,-22.25,5.69566e-08,0.77727,0.0663519
D3DDetector_Cell_ON252,0,0,24,11.4,-2.05,-5.35,5.11563e-08,0.394123,0.0663519
D3DDetector_Cell_ON284,0,0,31,-11.7,-16.75,11.55,4.42093e-08,0.0343049,0.124217
D3DDetector_Cell_ON162,0,0,5,-27.1,-16.75,-5.35,5.39395e-08,0.371033,0.198943
D3DDetector_Cell_ON167,0,0,7,-19.4,12.65,3.1,5.45328e-08,0.203945,0.142059
D3DDetector_Cell_ON192,0,0,12,3.7,-16.75,-22.25,5.77953e-08,0.77292,0.102782
D3DDetector_Cell_ON158,0,0,4,-4,12.65,-30.7,6.06863e-08,0.98,0.0773674
D3DDetector_Cell_ON260,0,0,27,3.7,-16.75,11.55,4.81861e-08,0.0372613,0.102782
D3DDetector_Cell_ON249,0,0,22,11.4,-2.05,11.55,4.65606e-08,0.0407666,0.0663519
D3DDetector_Cell_ON212,0,0,13,-111.7,-102.05,-30.55,3.01133e-10,0.331936,0.98
D3DDetector_Cell_ON218,0,0,16,-104,-87.35,-30.55,2.70958e-10,0.448914,0.878758
D3DDetector_Cell_ON188,0,0,11,3.7,-16.75,-5.35,4.9478e-08,0.390224,0.102782
D3DDetector_Cell_ON237,0,0,19,-119.4,-87.35,-30.55,2.06294e-10,0.354977,0.958044
